judul,pengarang,klasifikasi,status,genre_utama,subgenre,genre,content
Akibat-Akibat Fatal Meremehkan Shalat Taubat,Rizem Aizid,297.412.29,Penyiangan 2025-2,agama,umum,agama umum,akibatakibat fatal meremehkan shalat taubat rizem aizid agama umum
Panduan Senam Stroke,Soeparman,613.7,Penyiangan 2025-2,teknologi,umum,teknologi umum,panduan senam stroke soeparman teknologi umum
Biografi Ummul Mukminin Aisyah,Shadiq Ahmad Abdurrahman Barir,297.9131,Penyiangan 2025-2,agama,umum,agama umum,biografi ummul mukminin aisyah shadiq ahmad abdurrahman barir agama umum
110 Tokoh Dengan Ide Gila Yang Mendunia,"Ihsan Fauzi, S.Si",1,Penyiangan 2025-2,umum,umum,umum umum, tokoh dengan ide gila yang mendunia ihsan fauzi ssi umum umum
Accidentally Engaged,Mary Carter,FIK,Penyiangan 2025-2,umum,umum,umum umum,accidentally engaged mary carter umum umum
Ekspresi Lisan,Purwadi,819.501,Penyiangan 2025-2,sastra,umum,sastra umum,ekspresi lisan purwadi sastra umum
ULAR Makhluk Meliuk Yaang Menarik,Rina Novia,FIK,Penyiangan 2025-2,umum,umum,umum umum,ular makhluk meliuk yaang menarik rina novia umum umum
I'm Jasmine,Lia Adriansyah,FIK,Penyiangan 2025-2,umum,umum,umum umum,im jasmine lia adriansyah umum umum
Rahasia 5 Shalat Sunnah Terdashyat,Saiful Hadi El-Sutha,297.412.2,Penyiangan 2025-2,agama,umum,agama umum,rahasia  shalat sunnah terdashyat saiful hadi elsutha agama umum
H2 Buku 32,"Mitsuru, Adachi",FIK,Penyiangan 2025-2,umum,umum,umum umum,h buku  mitsuru adachi umum umum
unlucky loser,erry santy,fik,Penyiangan 2025-2,umum,umum,umum umum,unlucky loser erry santy umum umum
UNTA Si Kapal Padang Pasir,Melvi Dwi Dezka Putri,FIK,Penyiangan 2025-2,umum,umum,umum umum,unta si kapal padang pasir melvi dwi dezka putri umum umum
Orang Sibuk Pun Bisa Hafal Al-quran,Abdul Muhsin,297.17,Penyiangan 2025-2,agama,umum,agama umum,orang sibuk pun bisa hafal alquran abdul muhsin agama umum
Sikat Habis Soal-Soal Tes CPNS,Moh. Mahtub,1,Penyiangan 2025-2,umum,umum,umum umum,sikat habis soalsoal tes cpns moh mahtub umum umum
Orang Sibuk Pun Bisa Hafal Al-quran,Abdul Muhsin,297.17,Penyiangan 2025-2,agama,umum,agama umum,orang sibuk pun bisa hafal alquran abdul muhsin agama umum
Sikat Habis Soal-Soal Tes CPNS,Moh. Mahtub,1,Penyiangan 2025-2,umum,umum,umum umum,sikat habis soalsoal tes cpns moh mahtub umum umum
The Best & The Excellent Entrepreneur in The World,Fery Muhammad,923.3,Penyiangan 2025-2,sejarah,umum,sejarah umum,the best  the excellent entrepreneur in the world fery muhammad sejarah umum
Keajaiban Doa dan Sedekah,Khalid bin Sulaiman Ar-rabii,297.541,Penyiangan 2025-2,agama,umum,agama umum,keajaiban doa dan sedekah khalid bin sulaiman arrabii agama umum
Spiritualitas Kematian meraih hidup indah dan husnul khatimah,Komaruddin Hidayat,297.351,Penyiangan 2025-2,agama,umum,agama umum,spiritualitas kematian meraih hidup indah dan husnul khatimah komaruddin hidayat agama umum
"Kultum Ringkas Sehari-hari Adab, Panduan dan Doa",M. Amri Abu Syatir,297.4124,Penyiangan 2025-2,agama,umum,agama umum,kultum ringkas seharihari adab panduan dan doa m amri abu syatir agama umum
Simple Thinking about Blood Type,Achie Linda,741.5,Penyiangan 2025-2,umum,umum,umum umum,simple thinking about blood type achie linda umum umum
Tasawuf Kultural : Fenomena Shalawat Wahidiyah,Sokhi Huda,297.52,Penyiangan 2025-2,agama,umum,agama umum,tasawuf kultural  fenomena shalawat wahidiyah sokhi huda agama umum
Pendekar Sendang Drajat Misteri Gajah Mada Islam,Viddy Ad Daery,398,Penyiangan 2025-2,sosial politik,umum,sosial politik umum,pendekar sendang drajat misteri gajah mada islam viddy ad daery sosial politik umum
Pendekar Sendang Drajat Misteri Gajah Mada Islam,Viddy Ad Daery,398,Penyiangan 2025-2,sosial politik,umum,sosial politik umum,pendekar sendang drajat misteri gajah mada islam viddy ad daery sosial politik umum
Kebanggaan Yang Hilang,Tias Tatanka,FIK,Penyiangan 2025-2,umum,umum,umum umum,kebanggaan yang hilang tias tatanka umum umum
Kebanggaan Yang Hilang,Tias Tatanka,FIK,Penyiangan 2025-2,umum,umum,umum umum,kebanggaan yang hilang tias tatanka umum umum
Lautan Hakikat Syekh Abdul Qadir Al-Jilani,Syekh Abdul Qadir Al-Jilani,297.98,Penyiangan 2025-2,agama,umum,agama umum,lautan hakikat syekh abdul qadir aljilani syekh abdul qadir aljilani agama umum
3D Alam Liar : Hewan-Hewan Purba,"Regan,Lisa",567.9,Penyiangan 2025-2,sains,umum,sains umum,d alam liar  hewanhewan purba reganlisa sains umum
3D ALam Liar : Naga,"Starke, John",567.9,Penyiangan 2025-2,sains,umum,sains umum,d alam liar  naga starke john sains umum
Kumpulan Cerita Anak Kreatif Tales for Creative Children,Watiek Ideo,398.2,Penyiangan 2025-2,sosial politik,anak,sosial politik anak,kumpulan cerita anak kreatif tales for creative children watiek ideo sosial politik anak
Jus Ajaib Penumpas Aneka Penyakit,Rusilanti,641.2,Penyiangan 2025-2,teknologi,umum,teknologi umum,jus ajaib penumpas aneka penyakit rusilanti teknologi umum
Jus Ajaib Penumpas Aneka Penyakit,Rusilanti,641.2,Penyiangan 2025-2,teknologi,umum,teknologi umum,jus ajaib penumpas aneka penyakit rusilanti teknologi umum
Jus Ajaib Penumpas Aneka Penyakit,Rusilanti,641.2,Penyiangan 2025-2,teknologi,umum,teknologi umum,jus ajaib penumpas aneka penyakit rusilanti teknologi umum
Kumpulan Cerita Anak Kreatif Tales for Creative Children,Watiek Ideo,398.2,Penyiangan 2025-2,sosial politik,anak,sosial politik anak,kumpulan cerita anak kreatif tales for creative children watiek ideo sosial politik anak
Jus Ajaib Penumpas Aneka Penyakit,Rusilanti,641.2,Penyiangan 2025-2,teknologi,umum,teknologi umum,jus ajaib penumpas aneka penyakit rusilanti teknologi umum
Merry Riana : Langkah Sejuta Suluh,Clara Ng,923.3,Penyiangan 2025-2,sejarah,umum,sejarah umum,merry riana  langkah sejuta suluh clara ng sejarah umum
Bulan Terbelah di Langit Amerika,Hanum Salsabiela Rais,910.4,Penyiangan 2025-2,sejarah,umum,sejarah umum,bulan terbelah di langit amerika hanum salsabiela rais sejarah umum
Unstoppable : Kuasa Menakjubkan Tindakan Iman,"Vujicic, Nick",927.9,Penyiangan 2025-2,sejarah,umum,sejarah umum,unstoppable  kuasa menakjubkan tindakan iman vujicic nick sejarah umum
#sharing,Handry Satriago,923.3,Penyiangan 2025-2,sejarah,umum,sejarah umum,sharing handry satriago sejarah umum
Ayam Kampung Petelur,Bambang Krista,636.514 2,Penyiangan 2025-2,teknologi,umum,teknologi umum,ayam kampung petelur bambang krista teknologi umum
"Pleci : Menguak Rahasia Para Plecimania Mencetak Pleci Jago ""Ngalas Ngerol""",Istono Yuwono,598.7,Penyiangan 2025-2,sains,umum,sains umum,pleci  menguak rahasia para plecimania mencetak pleci jago ngalas ngerol istono yuwono sains umum
Incomplete,Shandy Aulia,927.9,Penyiangan 2025-2,sejarah,umum,sejarah umum,incomplete shandy aulia sejarah umum
Jago Bisnis & Beternak Ayam Kampung,Bambang Krista,636.5,Penyiangan 2025-2,teknologi,umum,teknologi umum,jago bisnis  beternak ayam kampung bambang krista teknologi umum
Masakan Ikan : Menu Favorit Keluarga Nusantara,Widya Rahayu,641.5,Penyiangan 2025-2,teknologi,umum,teknologi umum,masakan ikan  menu favorit keluarga nusantara widya rahayu teknologi umum
The Miracle of Herbs,Prapti Utami,582.12,Penyiangan 2025-2,sains,umum,sains umum,the miracle of herbs prapti utami sains umum
Budi Daya Ikan Mas di Kolam Hemat Air,Yadi Supriatna,639.31,Penyiangan 2025-2,teknologi,umum,teknologi umum,budi daya ikan mas di kolam hemat air yadi supriatna teknologi umum
Seimbangkan Dunia dan Akhiratmu,Haviva A.B,297.51,Penyiangan 2025-2,agama,umum,agama umum,seimbangkan dunia dan akhiratmu haviva ab agama umum
Kisah Inspiratif Orang-Orang Top Dunia,Kaefa Mirzani,920,Penyiangan 2025-2,sejarah,umum,sejarah umum,kisah inspiratif orangorang top dunia kaefa mirzani sejarah umum
Merry Riana : Langkah Sejuta Suluh,Clara Ng,923.3,Penyiangan 2025-2,sejarah,umum,sejarah umum,merry riana  langkah sejuta suluh clara ng sejarah umum
365 Pesan Kebangsaan JK,Gufron Hidayat,923.2,Penyiangan 2025-2,sejarah,umum,sejarah umum, pesan kebangsaan jk gufron hidayat sejarah umum
Unstoppable : Kuasa Menakjubkan Tindakan Iman,"Vujicic, Nick",927.9,Penyiangan 2025-2,sejarah,umum,sejarah umum,unstoppable  kuasa menakjubkan tindakan iman vujicic nick sejarah umum
#sharing,Handry Satriago,923.3,Penyiangan 2025-2,sejarah,umum,sejarah umum,sharing handry satriago sejarah umum
Ayam Kampung Petelur,Bambang Krista,636.514 2,Penyiangan 2025-2,teknologi,umum,teknologi umum,ayam kampung petelur bambang krista teknologi umum
"Pleci : Menguak Rahasia Para Plecimania Mencetak Pleci Jago ""Ngalas Ngerol""",Istono Yuwono,598.7,Penyiangan 2025-2,sains,umum,sains umum,pleci  menguak rahasia para plecimania mencetak pleci jago ngalas ngerol istono yuwono sains umum
Incomplete,Shandy Aulia,927.9,Penyiangan 2025-2,sejarah,umum,sejarah umum,incomplete shandy aulia sejarah umum
Jago Bisnis & Beternak Ayam Kampung,Bambang Krista,636.5,Penyiangan 2025-2,teknologi,umum,teknologi umum,jago bisnis  beternak ayam kampung bambang krista teknologi umum
Masakan Ikan : Menu Favorit Keluarga Nusantara,Widya Rahayu,641.5,Penyiangan 2025-2,teknologi,umum,teknologi umum,masakan ikan  menu favorit keluarga nusantara widya rahayu teknologi umum
The Miracle of Herbs,Prapti Utami,582.12,Penyiangan 2025-2,sains,umum,sains umum,the miracle of herbs prapti utami sains umum
Budi Daya Ikan Mas di Kolam Hemat Air,Yadi Supriatna,639.31,Penyiangan 2025-2,teknologi,umum,teknologi umum,budi daya ikan mas di kolam hemat air yadi supriatna teknologi umum
Seimbangkan Dunia dan Akhiratmu,Haviva A.B,297.51,Penyiangan 2025-2,agama,umum,agama umum,seimbangkan dunia dan akhiratmu haviva ab agama umum
Kisah Inspiratif Orang-Orang Top Dunia,Kaefa Mirzani,920,Penyiangan 2025-2,sejarah,umum,sejarah umum,kisah inspiratif orangorang top dunia kaefa mirzani sejarah umum
Merry Riana : Langkah Sejuta Suluh,Clara Ng,923.3,Penyiangan 2025-2,sejarah,umum,sejarah umum,merry riana  langkah sejuta suluh clara ng sejarah umum
365 Pesan Kebangsaan JK,Gufron Hidayat,923.2,Penyiangan 2025-2,sejarah,umum,sejarah umum, pesan kebangsaan jk gufron hidayat sejarah umum
Unstoppable : Kuasa Menakjubkan Tindakan Iman,"Vujicic, Nick",927.9,Penyiangan 2025-2,sejarah,umum,sejarah umum,unstoppable  kuasa menakjubkan tindakan iman vujicic nick sejarah umum
#sharing,Handry Satriago,923.3,Penyiangan 2025-2,sejarah,umum,sejarah umum,sharing handry satriago sejarah umum
Ayam Kampung Petelur,Bambang Krista,636.514 2,Penyiangan 2025-2,teknologi,umum,teknologi umum,ayam kampung petelur bambang krista teknologi umum
"Pleci : Menguak Rahasia Para Plecimania Mencetak Pleci Jago ""Ngalas Ngerol""",Istono Yuwono,598.7,Penyiangan 2025-2,sains,umum,sains umum,pleci  menguak rahasia para plecimania mencetak pleci jago ngalas ngerol istono yuwono sains umum
Incomplete,Shandy Aulia,927.9,Penyiangan 2025-2,sejarah,umum,sejarah umum,incomplete shandy aulia sejarah umum
Jago Bisnis & Beternak Ayam Kampung,Bambang Krista,636.5,Penyiangan 2025-2,teknologi,umum,teknologi umum,jago bisnis  beternak ayam kampung bambang krista teknologi umum
Masakan Ikan : Menu Favorit Keluarga Nusantara,Widya Rahayu,641.5,Penyiangan 2025-2,teknologi,umum,teknologi umum,masakan ikan  menu favorit keluarga nusantara widya rahayu teknologi umum
The Miracle of Herbs,Prapti Utami,582.12,Penyiangan 2025-2,sains,umum,sains umum,the miracle of herbs prapti utami sains umum
Budi Daya Ikan Mas di Kolam Hemat Air,Yadi Supriatna,639.31,Penyiangan 2025-2,teknologi,umum,teknologi umum,budi daya ikan mas di kolam hemat air yadi supriatna teknologi umum
Seimbangkan Dunia dan Akhiratmu,Haviva A.B,297.51,Penyiangan 2025-2,agama,umum,agama umum,seimbangkan dunia dan akhiratmu haviva ab agama umum
Merry Riana : Langkah Sejuta Suluh,Clara Ng,923.3,Penyiangan 2025-2,sejarah,umum,sejarah umum,merry riana  langkah sejuta suluh clara ng sejarah umum
Bulan Terbelah di Langit Amerika,Hanum Salsabiela Rais,910.4,Penyiangan 2025-2,sejarah,umum,sejarah umum,bulan terbelah di langit amerika hanum salsabiela rais sejarah umum
Unstoppable : Kuasa Menakjubkan Tindakan Iman,"Vujicic, Nick",927.9,Penyiangan 2025-2,sejarah,umum,sejarah umum,unstoppable  kuasa menakjubkan tindakan iman vujicic nick sejarah umum
#sharing,Handry Satriago,923.3,Penyiangan 2025-2,sejarah,umum,sejarah umum,sharing handry satriago sejarah umum
Ayam Kampung Petelur,Bambang Krista,636.514 2,Penyiangan 2025-2,teknologi,umum,teknologi umum,ayam kampung petelur bambang krista teknologi umum
"Pleci : Menguak Rahasia Para Plecimania Mencetak Pleci Jago ""Ngalas Ngerol""",Istono Yuwono,598.7,Penyiangan 2025-2,sains,umum,sains umum,pleci  menguak rahasia para plecimania mencetak pleci jago ngalas ngerol istono yuwono sains umum
Incomplete,Shandy Aulia,927.9,Penyiangan 2025-2,sejarah,umum,sejarah umum,incomplete shandy aulia sejarah umum
Jago Bisnis & Beternak Ayam Kampung,Bambang Krista,636.5,Penyiangan 2025-2,teknologi,umum,teknologi umum,jago bisnis  beternak ayam kampung bambang krista teknologi umum
Masakan Ikan : Menu Favorit Keluarga Nusantara,Widya Rahayu,641.5,Penyiangan 2025-2,teknologi,umum,teknologi umum,masakan ikan  menu favorit keluarga nusantara widya rahayu teknologi umum
The Miracle of Herbs,Prapti Utami,582.12,Penyiangan 2025-2,sains,umum,sains umum,the miracle of herbs prapti utami sains umum
Budi Daya Ikan Mas di Kolam Hemat Air,Yadi Supriatna,639.31,Penyiangan 2025-2,teknologi,umum,teknologi umum,budi daya ikan mas di kolam hemat air yadi supriatna teknologi umum
Seimbangkan Dunia dan Akhiratmu,Haviva A.B,297.51,Penyiangan 2025-2,agama,umum,agama umum,seimbangkan dunia dan akhiratmu haviva ab agama umum
Habibie : Menikmati 50 Gagasan Brilian Sembari Mengenang Momen Kehidupan Eyang,Fachmy Casofa,923.1,Penyiangan 2025-2,sejarah,umum,sejarah umum,habibie  menikmati  gagasan brilian sembari mengenang momen kehidupan eyang fachmy casofa sejarah umum
Seni Keterampilan Bubur Kertas,Suhendri Abu Faqih,745.5,Penyiangan 2025-2,umum,umum,umum umum,seni keterampilan bubur kertas suhendri abu faqih umum umum
Bisnis Ikan Konsumsi di Lahan Sempit,Cahyo Saparinto,639.31,Penyiangan 2025-2,teknologi,umum,teknologi umum,bisnis ikan konsumsi di lahan sempit cahyo saparinto teknologi umum
Kumpulan Dongeng Asli Nusantara Terbaik Seluruh Provinsi,mahadewa Adi Seta,398.2,Penyiangan 2025-2,sosial politik,umum,sosial politik umum,kumpulan dongeng asli nusantara terbaik seluruh provinsi mahadewa adi seta sosial politik umum
Sejarah ISIS & Illuminati,Ahmad Yanuana Samantho,320.956,Penyiangan 2025-2,sosial politik,umum,sosial politik umum,sejarah isis  illuminati ahmad yanuana samantho sosial politik umum
Aksesories flower Fill Populer,Lina Purnawanti,746,Penyiangan 2025-2,umum,umum,umum umum,aksesories flower fill populer lina purnawanti umum umum
Perlengkapan Bayi Imut & Lucu,Lina Purnawanti,745.5,Penyiangan 2025-2,umum,umum,umum umum,perlengkapan bayi imut  lucu lina purnawanti umum umum
Panduan Lengkap Budi Daya & Bisnis Cacing Sutra,Ratih Setyawati,639.7,Penyiangan 2025-2,teknologi,umum,teknologi umum,panduan lengkap budi daya  bisnis cacing sutra ratih setyawati teknologi umum
Panduan Lengkap Budi Daya Ikan dan Sayuran dengan Sistem Akuaponik,Cahyo Saparinto,639.3,Penyiangan 2025-2,teknologi,umum,teknologi umum,panduan lengkap budi daya ikan dan sayuran dengan sistem akuaponik cahyo saparinto teknologi umum
Jahe,Cahyo Saparinto,633.8,Penyiangan 2025-2,teknologi,umum,teknologi umum,jahe cahyo saparinto teknologi umum
Babad Tanah Jawi,"Olthof,W.L",959.801,Penyiangan 2025-2,sejarah,umum,sejarah umum,babad tanah jawi olthofwl sejarah umum
99 Cahaya di Langit Eropa Part 2,Guntur Soeharjanto,741.5,Penyiangan 2025-2,umum,umum,umum umum, cahaya di langit eropa part  guntur soeharjanto umum umum
Tiga Manula Keliling Jawa,Benny Rachmadi,741.5,Penyiangan 2025-2,umum,umum,umum umum,tiga manula keliling jawa benny rachmadi umum umum
Seni Keterampilan Bubur Kertas,Suhendri Abu Faqih,745.5,Penyiangan 2025-2,umum,umum,umum umum,seni keterampilan bubur kertas suhendri abu faqih umum umum
Udah Putusin Aja!,Felix Y. Siauw,155.5,Penyiangan 2025-2,umum,umum,umum umum,udah putusin aja felix y siauw umum umum
Kumpulan Dongeng Asli Nusantara Terbaik Seluruh Provinsi,mahadewa Adi Seta,398.2,Penyiangan 2025-2,sosial politik,umum,sosial politik umum,kumpulan dongeng asli nusantara terbaik seluruh provinsi mahadewa adi seta sosial politik umum
99 Inspirasi pagi untuk Setiap Muslim,Muhammad H. Bashori,297.51,Penyiangan 2025-2,agama,umum,agama umum, inspirasi pagi untuk setiap muslim muhammad h bashori agama umum
Aksesories flower Fill Populer,Lina Purnawanti,746,Penyiangan 2025-2,umum,umum,umum umum,aksesories flower fill populer lina purnawanti umum umum
Perlengkapan Bayi Imut & Lucu,Lina Purnawanti,745.5,Penyiangan 2025-2,umum,umum,umum umum,perlengkapan bayi imut  lucu lina purnawanti umum umum
Tomi si Tomat Aktor,"Ekawati M. Dukut, dkk.",FIK,Penyiangan 2025-2,umum,umum,umum umum,tomi si tomat aktor ekawati m dukut dkk umum umum
Panduan Lengkap Budi Daya & Bisnis Cacing Sutra,Ratih Setyawati,639.7,Penyiangan 2025-2,teknologi,umum,teknologi umum,panduan lengkap budi daya  bisnis cacing sutra ratih setyawati teknologi umum
Panduan Lengkap Budi Daya Ikan dan Sayuran dengan Sistem Akuaponik,Cahyo Saparinto,639.3,Penyiangan 2025-2,teknologi,umum,teknologi umum,panduan lengkap budi daya ikan dan sayuran dengan sistem akuaponik cahyo saparinto teknologi umum
Jahe,Cahyo Saparinto,633.8,Penyiangan 2025-2,teknologi,umum,teknologi umum,jahe cahyo saparinto teknologi umum
Babad Tanah Jawi,"Olthof,W.L",959.801,Penyiangan 2025-2,sejarah,umum,sejarah umum,babad tanah jawi olthofwl sejarah umum
99 Cahaya di Langit Eropa Part 2,Guntur Soeharjanto,741.5,Penyiangan 2025-2,umum,umum,umum umum, cahaya di langit eropa part  guntur soeharjanto umum umum
Tiga Manula Keliling Jawa,Benny Rachmadi,741.5,Penyiangan 2025-2,umum,umum,umum umum,tiga manula keliling jawa benny rachmadi umum umum
Seni Keterampilan Bubur Kertas,Suhendri Abu Faqih,745.5,Penyiangan 2025-2,umum,umum,umum umum,seni keterampilan bubur kertas suhendri abu faqih umum umum
Udah Putusin Aja!,Felix Y. Siauw,155.5,Penyiangan 2025-2,umum,umum,umum umum,udah putusin aja felix y siauw umum umum
Kumpulan Dongeng Asli Nusantara Terbaik Seluruh Provinsi,mahadewa Adi Seta,398.2,Penyiangan 2025-2,sosial politik,umum,sosial politik umum,kumpulan dongeng asli nusantara terbaik seluruh provinsi mahadewa adi seta sosial politik umum
99 Inspirasi pagi untuk Setiap Muslim,Muhammad H. Bashori,297.51,Penyiangan 2025-2,agama,umum,agama umum, inspirasi pagi untuk setiap muslim muhammad h bashori agama umum
Aksesories flower Fill Populer,Lina Purnawanti,746,Penyiangan 2025-2,umum,umum,umum umum,aksesories flower fill populer lina purnawanti umum umum
Perlengkapan Bayi Imut & Lucu,Lina Purnawanti,745.5,Penyiangan 2025-2,umum,umum,umum umum,perlengkapan bayi imut  lucu lina purnawanti umum umum
Cantik dengan Aksesori dari Batik,Windyana Restanti,746,Penyiangan 2025-2,umum,umum,umum umum,cantik dengan aksesori dari batik windyana restanti umum umum
101 Kreasi Suvenir Pernikahan,Kiswandari Ratna Setyawati,745.5,Penyiangan 2025-2,umum,umum,umum umum, kreasi suvenir pernikahan kiswandari ratna setyawati umum umum
Panduan Lengkap Budi Daya Ikan dan Sayuran dengan Sistem Akuaponik,Cahyo Saparinto,639.3,Penyiangan 2025-2,teknologi,umum,teknologi umum,panduan lengkap budi daya ikan dan sayuran dengan sistem akuaponik cahyo saparinto teknologi umum
Belajar dari Kegagalan Bisnis Lele,Tim Penulis PS,639.31,Penyiangan 2025-2,teknologi,umum,teknologi umum,belajar dari kegagalan bisnis lele tim penulis ps teknologi umum
Bung Karno Penyambung Lidah Rakyat Indonesia,"Adams, Cindy",923.1,Penyiangan 2025-2,sejarah,umum,sejarah umum,bung karno penyambung lidah rakyat indonesia adams cindy sejarah umum
Cerdas di Kelompok Bermain Berhitung Usia 3-4 Tahun,"Condrywati, dkk",372.21,Penyiangan 2025-2,sosial politik,umum,sosial politik umum,cerdas di kelompok bermain berhitung usia  tahun condrywati dkk sosial politik umum
Habibie : Menikmati 50 Gagasan Brilian Sembari Mengenang Momen Kehidupan Eyang,Fachmy Casofa,923.1,Penyiangan 2025-2,sejarah,umum,sejarah umum,habibie  menikmati  gagasan brilian sembari mengenang momen kehidupan eyang fachmy casofa sejarah umum
Seni Keterampilan Bubur Kertas,Suhendri Abu Faqih,745.5,Penyiangan 2025-2,umum,umum,umum umum,seni keterampilan bubur kertas suhendri abu faqih umum umum
Bisnis Ikan Konsumsi di Lahan Sempit,Cahyo Saparinto,639.31,Penyiangan 2025-2,teknologi,umum,teknologi umum,bisnis ikan konsumsi di lahan sempit cahyo saparinto teknologi umum
Sejarah ISIS & Illuminati,Ahmad Yanuana Samantho,320.956,Penyiangan 2025-2,sosial politik,umum,sosial politik umum,sejarah isis  illuminati ahmad yanuana samantho sosial politik umum
Aksesories flower Fill Populer,Lina Purnawanti,746,Penyiangan 2025-2,umum,umum,umum umum,aksesories flower fill populer lina purnawanti umum umum
Perlengkapan Bayi Imut & Lucu,Lina Purnawanti,745.5,Penyiangan 2025-2,umum,umum,umum umum,perlengkapan bayi imut  lucu lina purnawanti umum umum
Cantik dengan Aksesori dari Batik,Windyana Restanti,746,Penyiangan 2025-2,umum,umum,umum umum,cantik dengan aksesori dari batik windyana restanti umum umum
101 Kreasi Suvenir Pernikahan,Kiswandari Ratna Setyawati,745.5,Penyiangan 2025-2,umum,umum,umum umum, kreasi suvenir pernikahan kiswandari ratna setyawati umum umum
Panduan Lengkap Budi Daya Ikan dan Sayuran dengan Sistem Akuaponik,Cahyo Saparinto,639.3,Penyiangan 2025-2,teknologi,umum,teknologi umum,panduan lengkap budi daya ikan dan sayuran dengan sistem akuaponik cahyo saparinto teknologi umum
Belajar dari Kegagalan Bisnis Lele,Tim Penulis PS,639.31,Penyiangan 2025-2,teknologi,umum,teknologi umum,belajar dari kegagalan bisnis lele tim penulis ps teknologi umum
Bung Karno Penyambung Lidah Rakyat Indonesia,"Adams, Cindy",923.1,Penyiangan 2025-2,sejarah,umum,sejarah umum,bung karno penyambung lidah rakyat indonesia adams cindy sejarah umum
99 Cahaya di Langit Eropa,Guntur Soeharjanto,741.5,Penyiangan 2025-2,umum,umum,umum umum, cahaya di langit eropa guntur soeharjanto umum umum
"Beternak & Berbisnis Puyuh 3,5 Bulan Balik Modal",Slamet Wuryadi,636.5,Penyiangan 2025-2,teknologi,umum,teknologi umum,beternak  berbisnis puyuh  bulan balik modal slamet wuryadi teknologi umum
6 Jurus Bertanam Cabai Bebas Hama dan Penyakit,Neni Rostini,635.6,Penyiangan 2025-2,teknologi,umum,teknologi umum, jurus bertanam cabai bebas hama dan penyakit neni rostini teknologi umum
Tangan di Atas Lebih Baik Daripada Tangan di Bawah : Menyelami Nikmatnya Bershadaqah,Wawan Susetya,297.425.1,Penyiangan 2025-2,agama,umum,agama umum,tangan di atas lebih baik daripada tangan di bawah  menyelami nikmatnya bershadaqah wawan susetya agama umum
Ketika Muslimah Bernafas dengan Doa,Umi Salamah,297.541,Penyiangan 2025-2,agama,umum,agama umum,ketika muslimah bernafas dengan doa umi salamah agama umum
`Khutbah Rasulullah & Masjidil Haram,Supriyanto Abdullah,297.412.4,Penyiangan 2025-2,agama,umum,agama umum,khutbah rasulullah  masjidil haram supriyanto abdullah agama umum
Ubur-Ubur & Ikan Kaca serta 19 Dongeng Binatang Lainnya,Bilif Abduh,398.24,Penyiangan 2025-2,sosial politik,umum,sosial politik umum,uburubur  ikan kaca serta  dongeng binatang lainnya bilif abduh sosial politik umum
"Kenali Dirimu, Kau Akan Kenal Tuhanmu",Yusuf A.Rahman,297.313.1,Penyiangan 2025-2,agama,umum,agama umum,kenali dirimu kau akan kenal tuhanmu yusuf arahman agama umum
Menu Sehari-Hari Praktis & Lezat,Yuni Pradata,641.5,Penyiangan 2025-2,teknologi,umum,teknologi umum,menu seharihari praktis  lezat yuni pradata teknologi umum
36 Fabel Terbaik Dunia,"Hartman,Bob",398.24,Penyiangan 2025-2,sosial politik,umum,sosial politik umum, fabel terbaik dunia hartmanbob sosial politik umum
Memilih & Memeliharan 35 Jenis Reptil & Amfibi Paling Digemari,Depok Reptile Amphibi Community,597.9,Penyiangan 2025-2,sains,umum,sains umum,memilih  memeliharan  jenis reptil  amfibi paling digemari depok reptile amphibi community sains umum
"Jamu Ajaib Penakluk Diabetes : Hanya dalam selang waktu 1 jam, kadar gula darah turun",Ning Harmanto,582.12,Penyiangan 2025-2,sains,umum,sains umum,jamu ajaib penakluk diabetes  hanya dalam selang waktu  jam kadar gula darah turun ning harmanto sains umum
Menu Sehari-Hari Serba Kukus,Yantie Febrianti Husein,641.5,Penyiangan 2025-2,teknologi,umum,teknologi umum,menu seharihari serba kukus yantie febrianti husein teknologi umum
Be A Winner : Mengaktualisasikan Prinsip-prinsip Kesuksesan Para Pebisnis Muslim,M.Irfan al-Firdauz,297.51,Penyiangan 2025-2,agama,umum,agama umum,be a winner  mengaktualisasikan prinsipprinsip kesuksesan para pebisnis muslim mirfan alfirdauz agama umum
Budi Daya Kroto Sistem Stoples,Ade Yusdira dkk.,636.07,Penyiangan 2025-2,teknologi,umum,teknologi umum,budi daya kroto sistem stoples ade yusdira dkk teknologi umum
Bercermin Pada Akhlak Nabi,Hady Sumarna,297.911,Penyiangan 2025-2,agama,umum,agama umum,bercermin pada akhlak nabi hady sumarna agama umum
Cemilan Sehat Favorit Anak,Herni Astuti,641.5,Penyiangan 2025-2,teknologi,anak,teknologi anak,cemilan sehat favorit anak herni astuti teknologi anak
Akhlak Teladan Rasulullah & Mukjizatnya,Ahmad Hasan Musairi,297.911.2,Penyiangan 2025-2,agama,umum,agama umum,akhlak teladan rasulullah  mukjizatnya ahmad hasan musairi agama umum
Untung Besar dari Bisnis Jamur Tiram,Suryani Rahmat,635.8,Penyiangan 2025-2,teknologi,umum,teknologi umum,untung besar dari bisnis jamur tiram suryani rahmat teknologi umum
Teknik Dasar Bermain Sepak bola,Mellius Ma'u,796.334,Penyiangan 2025-2,umum,umum,umum umum,teknik dasar bermain sepak bola mellius mau umum umum
